Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
-24.32769529,46.42126692,-12.4018713,11.76135367,42.61046095,-0.041129609,70.23279675,-23.65578626,-42.66794814,-36.26414498,59.44760916,-27.81545563,8.977856584,38.06634219,-7.040729015,60.72860238,3.670368595,-4.153864017
-24.28657276,46.42755953,-12.36634965,11.78937285,42.60124053,-0.041579153,70.18728511,-23.67732199,-42.65908104,-36.18583176,59.4923572,-27.70515219,8.904518105,38.04807474,-7.084303072,60.89201102,3.54231892,-4.076086506
-24.23077024,46.44041364,-12.32391733,11.73441386,42.58341591,-0.066687165,70.19171219,-23.68053154,-42.65959303,-36.24407924,59.47451388,-27.76262869,8.979517278,38.05059296,-7.059581362,61.03889777,3.649625726,-4.165445368
-24.18343675,46.46295586,-12.27973161,11.69732178,42.60098615,-0.119725594,70.184979,-23.71521904,-42.69064265,-36.21636119,59.47764563,-27.68505706,8.952451131,38.07299515,-7.119497849,61.21654982,3.725136661,-4.245584209
-24.13767398,46.48039467,-12.23339663,11.63937732,42.61699314,-0.149751428,70.20925948,-23.72728917,-42.72261636,-36.22888261,59.46779017,-27.65461269,8.957987308,38.09295705,-7.159323696,61.03142393,3.669019525,-4.20411676
-24.10547098,46.49338664,-12.20492211,11.58743523,42.63090848,-0.175037685,70.23240656,-23.71273281,-42.74857698,-36.20641942,59.45577881,-27.62622519,8.98272158,38.11663926,-7.155190367,60.91544094,3.809370235,-4.274532454
-24.08835817,46.5027685,-12.19099547,11.57443011,42.61151258,-0.169410996,70.23581361,-23.69681821,-42.73336876,-36.19723592,59.4069962,-27.60620852,9.028906681,38.17264078,-7.147206612,60.92997269,3.704504829,-4.086848533
-24.05904049,46.51083448,-12.16849563,11.60541728,42.59867019,-0.139715715,70.17279616,-23.69144069,-42.72479804,-36.11740023,59.37632257,-27.50451259,9.011583807,38.2342565,-7.177572091,60.82409432,3.845276614,-4.0985961
-24.0444764,46.51294987,-12.15203256,11.64287103,42.58996608,-0.100263197,70.12496151,-23.66353725,-42.72574672,-36.17252469,59.36904566,-27.60803787,9.106056942,38.22752812,-7.102534068,60.82532256,3.664049052,-3.955018347
-24.03176224,46.50847166,-12.14126994,11.62410608,42.58447541,-0.086972265,70.12541754,-23.63405922,-42.70710559,-36.25272148,59.37389159,-27.66939755,9.166297246,38.21716886,-7.09531275,60.71854774,3.626247608,-3.855499469
-24.0154951,46.49819758,-12.1313477,11.64439756,42.58299631,-0.049682965,70.08662388,-23.6116092,-42.69125133,-36.34157587,59.36711234,-27.7425516,9.22911973,38.20290432,-7.088794026,60.6822089,3.810490595,-3.94411126
-23.99906906,46.48746106,-12.11968823,11.64388854,42.58764065,-0.015581823,70.08505178,-23.54632965,-42.69512867,-36.36593448,59.33074732,-27.71560719,9.240631444,38.23622456,-7.134640834,60.61638237,3.969132132,-4.043408759
-23.99635908,46.48741607,-12.11798992,11.65388023,42.58241518,0.021876682,70.06567968,-23.48966731,-42.70759315,-36.36438735,59.29148756,-27.70723001,9.257607488,38.27769357,-7.129885975,60.76690435,3.819205659,-3.955095414
-23.97775575,46.50139661,-12.09288759,11.63189594,42.58782303,0.036435475,70.04378498,-23.46652421,-42.72445747,-36.43043331,59.25520196,-27.77958317,9.337753171,38.30307465,-7.091727116,60.88884368,3.955776869,-4.058391081
-23.98210924,46.50121765,-12.09288704,11.65117098,42.60252245,0.044718899,70.02873106,-23.4729205,-42.74002701,-36.45773285,59.22198227,-27.84006514,9.408070923,38.33121121,-7.018996588,60.74743025,3.810727269,-4.063005804
-23.97635872,46.50513671,-12.07615241,11.62783526,42.61082159,0.021241394,70.0257037,-23.47355734,-42.75424218,-36.48105536,59.20732037,-27.83366624,9.420758387,38.35369362,-7.024295175,60.63428384,3.931231845,-4.215946652
-23.96137263,46.51123499,-12.05218198,11.61560067,42.60937409,0.02245092,70.03068695,-23.4658414,-42.75873372,-36.54863499,59.17394544,-27.88009161,9.48744165,38.37995173,-7.010167415,60.68163869,4.035955888,-4.365570895
-23.95308896,46.51391112,-12.03594126,11.60738568,42.60900427,0.008311056,70.01392553,-23.49534927,-42.74525115,-36.5292756,59.13849698,-27.92356482,9.562819006,38.41862182,-6.90509431,60.79619904,3.865573484,-4.301065109
-23.94422353,46.52129595,-12.01502625,11.66850645,42.57171275,0.067637738,69.94261981,-23.45260372,-42.71760445,-36.60528243,59.14412496,-28.03327505,9.654818462,38.40393312,-6.82417281,60.75720307,3.712462495,-4.241776236
