Right_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_AnkleRot,Right_Ankleprog,Right_Ankledors,Left_KneeIntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_Hip_IntExt,Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_AnkleRot,Left_Ankleprog,Left_Ankledors
1.46855195,-20.87969006,2.642911295,-5.847273611,2.20851948,1.192786926,147.3756297,72.4809702,-9.574697168,-2.552782694,-4.30983041,-40.50530325,8.119576164,8.915583329,5.061368235,67.18173933,23.50233557,-1.378228648
1.355108931,-20.56903716,2.530628651,-5.941835871,2.394834677,1.180058665,147.1312327,72.23138842,-10.14475605,-2.539652252,-4.239655356,-40.4677114,8.118073983,8.832888954,5.065827862,67.16601858,23.52473391,-1.349951165
1.235899388,-20.24959992,2.41947965,-6.036453916,2.581825882,1.164343873,146.8885855,71.97824901,-10.71382695,-2.53233546,-4.16193199,-40.43129656,8.119437595,8.750954437,5.073190441,67.14567447,23.54380876,-1.318093081
1.113135732,-19.92367773,2.313180012,-6.130636063,2.775836586,1.141796816,146.6500506,71.72134896,-11.27938248,-2.493895582,-4.063563004,-40.43163868,8.098438988,8.637864347,5.12302638,67.12565999,23.56315939,-1.288799597
0.990404522,-19.59145093,2.214457739,-6.228004523,2.976389086,1.112507151,146.4172493,71.46266811,-11.83650439,-2.452117538,-3.985541259,-40.43178533,8.068985124,8.540582501,5.171720507,67.11032359,23.58483271,-1.266211006
0.868046453,-19.25136059,2.122812971,-6.327389072,3.17712398,1.079703999,146.1923161,71.19713672,-12.38620852,-2.403008231,-3.915648598,-40.43075244,8.036924596,8.447793891,5.222146094,67.09810407,23.60550738,-1.242987952
0.748265721,-18.90513028,2.037084811,-6.430855963,3.381150741,1.041481392,145.9726304,70.92646433,-12.92845861,-2.350592538,-3.855013871,-40.42608391,7.997900572,8.367353454,5.271707037,67.07903328,23.62057502,-1.219897742
0.630151751,-18.55299809,1.958454859,-6.537124299,3.584511016,0.996911779,145.7580369,70.65098733,-13.46229218,-2.285443602,-3.817734388,-40.42198768,7.950655577,8.287737099,5.319628625,67.07144465,23.63877522,-1.201985798
0.510473129,-18.19395245,1.886751716,-6.6427149,3.794467145,0.948166566,145.5457895,70.36707005,-13.99016808,-2.216038936,-3.787267597,-40.41804122,7.89838982,8.224025123,5.369899055,67.05849981,23.65488693,-1.185304897
0.393801674,-17.83233248,1.82129102,-6.751497424,4.007512565,0.894873621,145.3347045,70.08222471,-14.51143365,-2.13968276,-3.771666399,-40.41472949,7.838331821,8.164339525,5.419299801,67.04992143,23.67250351,-1.170747837
0.277337858,-17.46747148,1.762209701,-6.860919128,4.223892123,0.835744932,145.1230269,69.79869883,-15.02560209,-2.058036598,-3.774581483,-40.41126169,7.770807456,8.114751684,5.466491894,67.04316967,23.69166733,-1.161256913
0.164333242,-17.09774929,1.708412325,-6.973347606,4.439224025,0.773512531,144.9037553,69.51794801,-15.53258173,-1.975892735,-3.784980493,-40.40714069,7.697759209,8.068068639,5.512631586,67.03691876,23.70954769,-1.152414482
0.055195386,-16.72430663,1.660090564,-7.088874779,4.661205173,0.708717766,144.6774045,69.24259158,-16.03191095,-1.901239076,-3.798631976,-40.40143624,7.620565833,8.029160786,5.556996062,67.02849635,23.7305144,-1.150556352
-0.053917458,-16.34456863,1.616722118,-7.210652545,4.881079632,0.639917536,144.4432306,68.97209824,-16.52427822,-1.820184828,-3.823366174,-40.39275055,7.535627057,7.992506066,5.59841927,67.02422187,23.75074884,-1.147816558
-0.158645884,-15.95957855,1.579558274,-7.338273898,5.099609026,0.56634636,144.1909606,68.70915235,-17.0072372,-1.739227574,-3.860064486,-40.38305894,7.448023883,7.95620856,5.636824633,67.0247488,23.77505216,-1.153702243
-0.268878341,-15.56772487,1.544459177,-7.464291666,5.315190813,0.489880743,143.9201195,68.44748995,-17.49051248,-1.659966276,-3.901974247,-40.37148766,7.35816615,7.919546361,5.672593486,67.02644394,23.80313336,-1.162474
-0.37795084,-15.16954904,1.514741342,-7.590005398,5.525829646,0.409446675,143.6375448,68.1850122,-17.97272636,-1.58041367,-3.944249633,-40.35699921,7.266623731,7.880547763,5.704889181,67.02622503,23.83148108,-1.164743558
-0.484751225,-14.7670072,1.489820254,-7.71611744,5.733115229,0.326194116,143.341492,67.92165026,-18.45272731,-1.50558893,-3.989390343,-40.34055194,7.173302718,7.840594873,5.734486793,67.0271309,23.85578294,-1.160243708
-0.5857056,-14.36078989,1.468811519,-7.845980098,5.936014369,0.239916173,142.9851459,67.62969531,-18.72468531,-1.439006581,-4.035519753,-40.3200715,7.080753397,7.800025331,5.759477433,67.02700459,23.88197015,-1.162071086
-0.678931129,-13.95597933,1.455356142,-7.976835493,6.132118172,0.150357286,142.6255516,67.34016091,-18.98594296,-1.366165162,-4.091555728,-40.2958128,6.98773383,7.754774922,5.779893661,67.03518141,23.91143954,-1.166117229
-0.76758533,-13.56160134,1.449663738,-8.105711579,6.321663236,0.05898622,142.26936,67.05294803,-19.24401467,-1.29563158,-4.147153845,-40.2682048,6.897477778,7.706105637,5.797125267,67.0385029,23.94602433,-1.178129074
-0.855835052,-13.17111697,1.448492365,-8.231976713,6.502433068,-0.033856067,141.911437,66.76870171,-19.50202536,-1.232824348,-4.203417249,-40.23806801,6.810059908,7.655538669,5.810182391,67.03861498,23.98129849,-1.193808824
-0.945336763,-12.79189726,1.452585651,-8.356414424,6.676408451,-0.12641907,141.5549285,66.48429606,-19.76011444,-1.168169314,-4.258617824,-40.20297153,6.725901125,7.599522152,5.818922759,67.03806008,24.0156362,-1.208228706
-1.035312855,-12.41139803,1.463267868,-8.478099841,6.845679137,-0.21785463,141.1792709,66.19943375,-20.0198233,-1.104576464,-4.324916622,-40.16718788,6.644052848,7.54540896,5.825127952,67.04111468,24.05073797,-1.220532596
