Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-24.38084164,-43.80523425,67.95324972,47.10208027,-22.4073337,-10.81863982,48.16914884,10.80489648,2.161870647,4.876511314,-4.181293025,56.14552414,56.36302406,-35.47106918,-26.96319273,39.82401126,14.00326628,-4.670802209
-24.35927494,-43.81494365,67.96138717,47.09761506,-22.40178108,-10.82173067,48.17317741,10.79462457,2.181615079,4.718775637,-4.132341043,56.05150321,56.32770194,-35.42005651,-26.94758179,39.86419939,14.0264668,-4.633157917
-24.36725802,-43.83124506,68.00350423,47.09656831,-22.40172728,-10.8241845,48.19553376,10.74655882,2.15007224,4.611336529,-4.100122127,55.94925888,56.31297884,-35.37028692,-26.87919483,39.90104515,13.99299332,-4.655128545
-24.3929184,-43.85049327,68.0176501,47.09460549,-22.40301645,-10.82622781,48.22541781,10.73244635,2.122155975,4.568807009,-4.078198108,55.78406422,56.29238777,-35.34619856,-26.84259661,39.93174577,13.99160743,-4.66775888
-24.38277665,-43.82989382,67.96672852,47.09789206,-22.40107665,-10.82319991,48.23369386,10.75617014,2.144184734,4.6140702,-4.087113833,55.65518116,56.28351871,-35.40008717,-26.88889199,39.93275753,14.03278388,-4.65832494
-24.35405931,-43.81239176,67.95226075,47.09672854,-22.39601911,-10.82837399,48.23865364,10.73231409,2.149504637,4.733397934,-4.128166085,55.81082573,56.30271652,-35.42080534,-26.84781189,39.91322811,14.00352071,-4.73365262
-24.36978109,-43.80659976,67.96757748,47.09134605,-22.39315081,-10.83486891,48.24706043,10.722928,2.145836397,4.621222699,-4.013834297,55.96605621,56.32266878,-35.48316149,-26.882124,39.87199406,14.02160375,-4.755102915
-24.39351801,-43.82473819,68.01387129,47.08175161,-22.39339781,-10.84099788,48.27859696,10.6743254,2.101548535,4.742967934,-4.066226956,55.81676605,56.31996835,-35.50637161,-26.96569612,39.8365633,14.10173297,-4.6566375
-24.39197708,-43.85879851,68.04115302,47.07155963,-22.38459198,-10.84602597,48.31420966,10.65886864,2.1135459,4.72184467,-4.009336623,55.83367304,56.30050051,-35.57919344,-27.00500885,39.83696023,14.12905995,-4.678324511
-24.39323176,-43.86681105,68.02175834,47.07510577,-22.37770016,-10.84507407,48.32206955,10.67253977,2.125259745,4.810489203,-3.98389751,55.72227278,56.29518359,-35.60860534,-27.00607966,39.8363865,14.12738032,-4.724033155
