Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt
-169.2169236,57.41308469,-178.6988187,-1.284929445,81.24975312,-10.74093378
-169.2265501,57.4034687,-178.7014729,-1.25712516,81.24493121,-10.71836166
-169.2364179,57.38976389,-178.7059042,-1.272689812,81.23870074,-10.73591569
-169.2226771,57.37624858,-178.6946933,-1.247583327,81.23292499,-10.721352
-169.2272666,57.3620426,-178.6982692,-1.203034964,81.22852997,-10.67832024
-169.2227461,57.34623371,-178.6895386,-1.16788371,81.22318032,-10.64692446
-169.2123903,57.33018695,-178.6737884,-1.173735822,81.2170072,-10.65508332
-169.2122692,57.31635679,-178.6681035,-1.146802092,81.21224367,-10.63435667
-169.2184266,57.30180359,-178.662655,-1.122056187,81.20697943,-10.61679807
-169.2258219,57.28742822,-178.6695091,-1.078694015,81.20107311,-10.57702141
-169.2341525,57.2708531,-178.6594821,-1.07852171,81.19449646,-10.57528232
-169.2248784,57.25580048,-178.6469903,-1.06705843,81.18872805,-10.57076837
-169.2268616,57.23812577,-178.635973,-1.050470885,81.1819906,-10.55304772
-169.2484883,57.22033637,-178.642553,-1.04702993,81.17467093,-10.54929365
-169.2571614,57.20549813,-178.6470833,-1.042851328,81.16950482,-10.54408241
-169.2578554,57.19032538,-178.6459569,-1.003561636,81.16529167,-10.5071054
-169.2832573,57.17560121,-178.6629176,-0.980430084,81.15936915,-10.48637686
-169.2860404,57.16439256,-178.6674146,-0.962420243,81.15345799,-10.46932922
-169.2883402,57.15465569,-178.676847,-0.93080648,81.14855208,-10.44073592
-169.2944301,57.14322903,-178.6832447,-0.903421929,81.1427348,-10.41957034
-169.3069878,57.1306045,-178.6917461,-0.906775752,81.13609912,-10.42277899
-169.3147879,57.11833955,-178.6930155,-0.931537229,81.12910031,-10.44405547
-169.3212514,57.10335555,-178.6881506,-0.906426875,81.12320759,-10.41918818
-169.3140326,57.0894058,-178.6799507,-0.917177665,81.11644192,-10.42981032
-169.3164988,57.07615425,-178.6870751,-0.897370131,81.10899149,-10.40678099
-169.328296,57.0609677,-178.6943927,-0.882773765,81.10077594,-10.3885744
-169.3557502,57.04570341,-178.7092489,-0.895015823,81.09226312,-10.40014333
-169.3767704,57.03377971,-178.7301576,-0.87599872,81.08444476,-10.38303246
-169.3940241,57.02065345,-178.7397443,-0.88468173,81.07617269,-10.39277299
-169.3983079,57.00689194,-178.7344277,-0.914656238,81.06861545,-10.42188776
-169.4180805,56.99462848,-178.7509176,-0.927615074,81.06054969,-10.43238767
-169.4205756,56.98327712,-178.7547508,-0.899082256,81.05417707,-10.40439196
-169.408983,56.96690527,-178.7376689,-0.899948685,81.04705005,-10.40832443
-169.4130667,56.95167527,-178.7412645,-0.925989796,81.03855588,-10.43623712
-169.4252513,56.9368916,-178.7564827,-0.941196583,81.0307843,-10.45235543
-169.412032,56.92055001,-178.7351665,-0.986590943,81.02272015,-10.50790424
-169.4305871,56.90501184,-178.7484625,-1.011732039,81.01438775,-10.53073487
-169.4418133,56.89646242,-178.7609316,-1.009784246,81.00708384,-10.53135098
-169.4417429,56.88759193,-178.7618198,-1.035556854,80.99962073,-10.5581322
-169.4474074,56.87975294,-178.7706158,-1.029218193,80.99053922,-10.55188881
-169.4354025,56.87147922,-178.7612505,-1.033478175,80.98177716,-10.55898642
-169.45375,56.86333669,-178.7741695,-1.046104456,80.97313728,-10.56933302
-169.4758987,56.85190823,-178.7890738,-1.096091688,80.9631278,-10.61541914
-169.4754336,56.84243907,-178.79295,-1.104821754,80.95454249,-10.62476207
-169.4928905,56.82953353,-178.8045957,-1.132876638,80.94167408,-10.65508169
-169.5054979,56.81717346,-178.8173197,-1.120773909,80.93045222,-10.6375693
-169.5229861,56.80533583,-178.8379045,-1.1570467,80.9175914,-10.67306645
-169.5398073,56.79457643,-178.8579612,-1.164735266,80.90572812,-10.6816162
-169.5459378,56.78387757,-178.8659398,-1.198779448,80.89337865,-10.7156459
-169.5445045,56.77281401,-178.8693799,-1.183205209,80.88352854,-10.70259339
-169.5533639,56.7619319,-178.8835332,-1.178514746,80.873113,-10.69903188
-169.5646998,56.75248153,-178.901064,-1.151120382,80.8638699,-10.67549215
-169.5721361,56.74209034,-178.9075925,-1.17031493,80.85349846,-10.69863423
-169.5831445,56.73184718,-178.9212999,-1.204697959,80.84293208,-10.731399
-169.5817828,56.7236467,-178.929632,-1.203773394,80.83487049,-10.72786616
