Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-15.67333333,42.74017658,49.74904704,-1.705129545,6.241867324,8.21419466,-47.18684244,25.42757742,-22.61394559,4.048211159,85.1401109,150.476568,-4.600019098,-8.485886948,2.896221995,-12.34953014,-17.11844623,1.001220902
-15.69719903,42.94003054,50.28690434,-1.669468148,6.237740497,8.162145579,-47.32039277,25.10628415,-22.39202901,4.17736081,85.38782057,150.3004038,-4.310899696,-8.25598387,2.823003795,-12.53816752,-17.41242164,1.140255867
-15.69049094,43.15006908,50.7492334,-1.632789045,6.239419154,8.111225456,-47.45651949,24.86097907,-22.20855362,4.281848643,85.61802775,150.1477439,-4.018625834,-8.029988181,2.742981764,-12.72284683,-17.70624897,1.293928809
-15.66435546,43.37959499,51.17864276,-1.596553739,6.25215848,8.061875374,-47.60986481,24.62908802,-22.03458633,4.381888974,85.82040624,150.0032387,-3.722001722,-7.819708621,2.650051772,-12.9039623,-17.98873004,1.465919022
-15.61119131,43.62769688,51.57260063,-1.564542979,6.268168235,8.011384212,-47.77971012,24.41779005,-21.86581387,4.487708284,85.99431809,149.8740138,-3.42256716,-7.613579319,2.549203757,-13.08493934,-18.27449713,1.650157274
-15.54492655,43.89629385,51.92287498,-1.534755338,6.289973622,7.960368891,-47.95911129,24.23197539,-21.7190379,4.608212094,86.15547729,149.7581708,-3.115242709,-7.421616207,2.441055976,-13.26650398,-18.55258613,1.850499714
-15.46540305,44.18030905,52.23521796,-1.508187672,6.316745849,7.91067734,-48.13956661,24.07687742,-21.59408072,4.728383063,86.30318909,149.6490221,-2.802561522,-7.236959731,2.321966913,-13.44740722,-18.82964479,2.066799822
-15.37915061,44.46846436,52.51157546,-1.484711026,6.34596268,7.860311061,-48.31272454,23.94673959,-21.48782925,4.841802685,86.43740264,149.5363461,-2.485466256,-7.056115803,2.198938644,-13.63030965,-19.11035068,2.291248107
-15.28414979,44.74806168,52.7436371,-1.462762169,6.379034673,7.81535925,-48.46767395,23.84643875,-21.40725657,4.945173549,86.55898209,149.4195538,-2.159408771,-6.888559609,2.065206144,-13.81820042,-19.38599586,2.531378403
-15.18244489,45.00592548,52.93319474,-1.440633875,6.413491804,7.776418173,-48.59663993,23.77809787,-21.34716566,5.034115749,86.67341921,149.2726585,-1.825010992,-6.731703307,1.927356658,-14.01249696,-19.66017204,2.779578813
-15.08509544,45.2371543,53.08532915,-1.420943544,6.450826369,7.741497395,-48.69009038,23.74058328,-21.31028706,5.091197869,86.76757812,149.0793263,-1.487224443,-6.582522272,1.781048168,-14.20825896,-19.93344361,3.040850927
-14.9948284,45.42708968,53.20667733,-1.403503138,6.488316559,7.707123227,-48.73891827,23.72273926,-21.27817073,5.135835761,86.84601533,148.8887363,-1.146581604,-6.443361288,1.628042463,-14.40462047,-20.20261429,3.315651488
