Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt
-169.86446,4.9477892,177.8866108,7.513046965,28.88648742,-1.91285447
-169.8539715,4.946923069,177.8799642,7.523802362,28.89223272,-1.917372227
-169.8386325,4.945995953,177.8727908,7.541787067,28.89882601,-1.910320175
-169.8299436,4.943556469,177.8713754,7.55022437,28.90430922,-1.911087374
-169.8179092,4.940175971,177.8741172,7.552665606,28.90975528,-1.917422466
-169.8135123,4.930920681,177.8752212,7.560668521,28.91409919,-1.922599186
-169.8070295,4.920941501,177.8659322,7.567225291,28.91674813,-1.917360718
-169.7946193,4.910718268,177.8584713,7.573261726,28.918975,-1.915864308
-169.7834132,4.900045115,177.8591542,7.578911611,28.92131073,-1.908668672
-169.7744327,4.890946431,177.8456654,7.586570439,28.92511042,-1.90116203
-169.770769,4.878879992,177.8488295,7.583632977,28.9281343,-1.899042567
-169.7601847,4.86948629,177.8479249,7.586616601,28.93321871,-1.904830703
-169.7453003,4.860552305,177.8459511,7.595807285,28.93847697,-1.90867771
-169.7374208,4.850192959,177.8454113,7.603244338,28.94313264,-1.908426823
-169.719515,4.838974564,177.8545175,7.615817669,28.94671853,-1.904290377
-169.72054,4.832408403,177.853689,7.613007626,28.95063933,-1.908969798
-169.7054156,4.826757297,177.8533852,7.617811108,28.95490611,-1.910680081
-169.6975465,4.821699538,177.8487563,7.626968765,28.96111271,-1.906103551
-169.6854071,4.815883194,177.8459802,7.63289783,28.96531452,-1.900980272
-169.6744509,4.809716344,177.8483616,7.639892255,28.96964886,-1.898776359
-169.6666575,4.80605434,177.8393228,7.651357187,28.97413915,-1.891796895
-169.6639565,4.802921673,177.8280387,7.658753961,28.97950887,-1.887515002
-169.6636034,4.800141174,177.8175726,7.661880615,28.98591764,-1.875611478
-169.6493908,4.797337292,177.8175815,7.674218267,28.99285271,-1.874172367
-169.6412448,4.795002417,177.8127279,7.686664306,29.00081758,-1.872845738
-169.6342214,4.791374764,177.8027687,7.688456528,29.00581458,-1.870913082
-169.6198998,4.789421057,177.7880388,7.701826171,29.01184044,-1.861461988
-169.60535,4.785942181,177.7796975,7.717228404,29.01661492,-1.850007264
-169.59172,4.781762092,177.7721303,7.72320736,29.02112645,-1.841254189
-169.5847251,4.776268119,177.7681203,7.72408945,29.02508137,-1.844796788
-169.5718635,4.775276089,177.7662501,7.73668157,29.03280719,-1.842302502
-169.5545473,4.775908791,177.7568677,7.748218837,29.04047223,-1.836919218
-169.5458026,4.775657657,177.7520395,7.7573148,29.04797106,-1.833212166
-169.5428572,4.775239718,177.7457937,7.762213756,29.05556997,-1.831392204
-169.5231188,4.774660268,177.7426435,7.770384232,29.06297016,-1.83241258
-169.5103238,4.771300205,177.7372847,7.782925784,29.06648861,-1.826279593
-169.5100175,4.767807781,177.7270872,7.787366341,29.06945726,-1.820123945
-169.5008532,4.763193719,177.7265077,7.78581964,29.07261009,-1.821345295
-169.5124645,4.759552495,177.719422,7.777912451,29.07624538,-1.830750937
-169.5098093,4.754868441,177.722368,7.777384656,29.0796369,-1.8400755
-169.508147,4.757283237,177.7196465,7.777094476,29.08973608,-1.84768683
-169.5128617,4.757747314,177.7219661,7.780359374,29.09936491,-1.855028161
-169.5025344,4.760379541,177.7180273,7.793551594,29.10945268,-1.855377562
-169.4936872,4.763456755,177.708118,7.805499917,29.11909629,-1.853136294
-169.494577,4.763520349,177.7093766,7.811130838,29.1287517,-1.851594779
-169.4852346,4.756984595,177.705106,7.820420168,29.13752102,-1.847586352
-169.4760297,4.751862035,177.6945649,7.823324487,29.14604039,-1.84260253
-169.4634736,4.747474374,177.6843467,7.829075583,29.15558918,-1.833079878
-169.462296,4.742141292,177.6827109,7.826980499,29.16581249,-1.82362773
-169.461326,4.735882224,177.6836806,7.826546054,29.17598606,-1.824675967
-169.4521433,4.731398634,177.672989,7.824674038,29.18028569,-1.822654003
-169.4601777,4.725827073,177.6644569,7.81923149,29.18438627,-1.817167637
-169.4499473,4.719908488,177.6658594,7.818145226,29.18876129,-1.819428916
-169.4468774,4.715131762,177.6558896,7.819692842,29.19341275,-1.810020891
-169.4351837,4.711487231,177.6538456,7.819476652,29.19911655,-1.804771412
-169.4348192,4.702651909,177.6554466,7.817768622,29.2050333,-1.808956898
-169.4286553,4.695526399,177.6491425,7.824347928,29.21132939,-1.795036013
-169.4186047,4.68836153,177.6413885,7.830961691,29.21724569,-1.794289459
-169.4103612,4.679025329,177.648441,7.835764187,29.22368509,-1.79461142
-169.3974744,4.672827841,177.6398071,7.838964703,29.23006143,-1.787954288
-169.3937534,4.663391685,177.6466158,7.835620396,29.23891421,-1.789837552
-169.3895156,4.657735969,177.6377948,7.840434585,29.24823281,-1.775500363
-169.385497,4.652468308,177.6314692,7.846587199,29.25762085,-1.769265606
-169.3824192,4.646245783,177.6271061,7.853108148,29.26696855,-1.760348796
-169.3711598,4.640031038,177.6266779,7.857881556,29.27633258,-1.756766038
-169.3681632,4.639693347,177.6170046,7.856178493,29.28457234,-1.75801279
-169.3568123,4.637086701,177.6242651,7.861311567,29.29179581,-1.760779619
