Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
106.4386332,-79.38615481,-115.2282082,-145.7914949,-56.29169236,148.9854753,18.16060691,17.52421234,20.33253636,4.767289422,9.002357988,10.2997666,94.24967305,-1.666724814,-77.53139666,30.37619061,10.97869665,-49.49349531
106.2079522,-78.7045958,-115.4741734,-146.7958314,-55.71041734,149.375524,17.37518666,17.89447482,20.40185136,8.846461603,8.297313853,13.03938618,95.34161082,-1.414640186,-77.23213233,26.60110929,14.29665722,-53.62894365
105.3421582,-77.91471684,-115.2271172,-148.294415,-55.31081246,150.0188935,16.66404512,18.28253657,20.52021647,12.35209683,6.866108694,15.21223423,96.55240008,-1.213089589,-76.94321611,23.69748396,16.93006639,-57.39461738
104.6170327,-77.01483346,-115.2428539,-149.5445426,-54.46510573,150.6762551,15.90423653,18.77382711,20.54930722,14.64895668,5.042990936,17.34933854,97.87368526,-1.185386611,-76.66202692,21.76344037,19.89044989,-60.86494183
103.7819433,-76.22201197,-115.1726097,-150.6567321,-52.98412711,151.4103572,14.81241472,19.16996235,20.38486017,15.71327322,3.965734599,19.31507139,99.31629162,-1.402917969,-76.27753565,21.47402154,22.35160268,-63.10043941
103.2323688,-75.63639021,-115.356588,-151.2572239,-51.01343047,151.656739,13.14722245,19.56168554,20.07845442,15.36507868,3.762233045,20.55673787,100.9127106,-1.909457432,-75.89484697,22.04409082,23.86322388,-63.81223674
103.2831653,-75.26837866,-116.0033032,-151.2801713,-49.0736448,150.9569226,10.98810822,19.85653419,19.66259514,13.83747535,4.212249782,20.32989119,102.5468031,-2.849243223,-75.46870793,22.61474403,24.00261252,-63.31434943
103.9092934,-75.29725031,-117.0342855,-150.6202331,-47.48128754,149.6211917,8.219331074,20.02920298,19.37830743,11.35649899,5.183813007,19.02467295,103.9944894,-4.206329473,-75.14854296,23.20265377,22.05010846,-61.78798724
105.5598233,-75.77861018,-118.8936516,-147.7448531,-45.54200722,147.013575,4.957564854,20.18486988,18.98019455,6.834416114,6.566768286,17.10752472,105.1257174,-6.095323367,-75.10277848,23.4033541,18.36165601,-59.62564864
109.5909434,-77.01486726,-122.9512279,-148.499916,-45.75691636,147.1641126,0.928462902,20.3494434,18.51250787,4.950424493,7.522337274,14.39078855,105.918323,-8.781002536,-75.2203499,24.27085621,14.28473433,-56.37077515
118.2997711,-78.53961825,-131.7278645,-150.6340807,-47.64574714,148.6508741,-3.48983879,21.01548518,18.05755134,5.51166786,7.231371093,12.51041108,106.0573962,-12.26313973,-75.77715158,25.61226392,11.66199978,-54.00183743
127.8669414,-78.66997109,-141.3193481,-152.9688998,-49.31682586,150.9956682,-7.082705429,22.29499093,17.00698634,5.657024994,7.010418956,11.70963439,105.9804,-16.75944906,-76.67922843,25.99511404,8.611929554,-52.7282023
135.9593453,-78.91680775,-149.1520684,-155.7881828,-49.77011723,154.3282081,-10.48223971,22.43260851,16.61428055,5.225386341,6.461278979,10.50479658,105.5813239,-21.48954144,-77.34272335,27.43428906,6.660606887,-49.8211489
150.21998,-80.03610632,-161.8072403,-157.7659461,-49.43159385,156.6532373,-14.85843835,21.50322415,17.24259413,5.398072985,6.93629976,8.840110962,104.4473185,-26.65659987,-77.84452549,28.46721901,4.372091346,-47.70394872
157.8822256,-80.39395125,-168.1540888,-161.2667744,-50.63020904,160.8204547,-19.38918318,20.26253497,17.15238283,5.879016456,6.096904465,6.6192856,103.4507203,-32.08955349,-78.10975775,30.35658576,2.249469118,-44.61155006
164.6975053,-80.60943009,-174.5691419,-164.8529991,-52.21362365,165.3331276,-24.26767044,19.02310003,16.38167829,6.634848533,5.82698953,6.144904068,102.4943044,-36.41906304,-77.63229819,31.59730859,0.946125769,-43.07211084
170.9709948,-80.66119539,-179.9623915,-167.472423,-53.94733931,169.1136073,-28.70733042,18.00441932,15.27877169,7.51835053,5.880103254,5.311993427,102.9655127,-39.42413557,-78.16156467,32.51341857,-0.617212691,-42.14576419
179.1215078,-80.78991595,-170.7984283,-169.4485692,-55.0417961,171.942933,-32.66139859,17.22982683,14.68895004,8.388580999,6.056041981,4.368964055,102.6959825,-40.95947601,-78.7330957,33.52172706,-1.937039698,-41.36763167
162.0444129,-80.93619002,-154.2519022,-171.0577451,-55.15277181,174.1126059,-36.45852787,16.575116,14.79348779,9.133966974,6.475429286,3.560045973,102.1422145,-40.72071361,-79.37896457,34.34520785,-2.811036853,-40.63171395
142.0265133,-80.52003574,-134.3516617,-172.5711117,-54.92764564,175.6248687,-39.34275728,14.7021342,14.6617965,9.782374064,6.721972234,2.769402593,102.2814817,-39.39423974,-79.80609259,34.90761743,-3.332520365,-39.82897787
